gtdb_marker_id	fetched_accession	drifted
PFAM_PF00380.20	PF00380.26	yes
PFAM_PF00410.20	PF00410.25	yes
PFAM_PF00466.21	PF00466.26	yes
PFAM_PF01025.20	PF01025.25	yes
PFAM_PF02576.18	PF02576.23	yes
PFAM_PF03726.15	PF03726.20	yes
TIGR_TIGR00006	TIGR00006.1	unpinned
TIGR_TIGR00019	TIGR00019.1	unpinned
TIGR_TIGR00020	TIGR00020.2	unpinned
TIGR_TIGR00029	TIGR00029.2	unpinned
TIGR_TIGR00043	TIGR00043.2	unpinned
TIGR_TIGR00054	TIGR00054.1	unpinned
TIGR_TIGR00059	TIGR00059.1	unpinned
TIGR_TIGR00061	TIGR00061.1	unpinned
TIGR_TIGR00064	TIGR00064.1	unpinned
TIGR_TIGR00065	TIGR00065.1	unpinned
TIGR_TIGR00082	TIGR00082.1	unpinned
TIGR_TIGR00083	TIGR00083.1	unpinned
TIGR_TIGR00084	TIGR00084.2	unpinned
TIGR_TIGR00086	TIGR00086.1	unpinned
TIGR_TIGR00088	TIGR00088.1	unpinned
TIGR_TIGR00090	TIGR00090.1	unpinned
TIGR_TIGR00092	TIGR00092.1	unpinned
TIGR_TIGR00095	TIGR00095.1	unpinned
TIGR_TIGR00115	TIGR00115.1	unpinned
TIGR_TIGR00116	TIGR00116.1	unpinned
TIGR_TIGR00138	TIGR00138.1	unpinned
TIGR_TIGR00158	TIGR00158.1	unpinned
TIGR_TIGR00166	TIGR00166.1	unpinned
TIGR_TIGR00168	TIGR00168.2	unpinned
TIGR_TIGR00186	TIGR00186.1	unpinned
TIGR_TIGR00194	TIGR00194.1	unpinned
TIGR_TIGR00250	TIGR00250.1	unpinned
TIGR_TIGR00337	TIGR00337.1	unpinned
TIGR_TIGR00344	TIGR00344.1	unpinned
TIGR_TIGR00362	TIGR00362.1	unpinned
TIGR_TIGR00382	TIGR00382.1	unpinned
TIGR_TIGR00392	TIGR00392.1	unpinned
TIGR_TIGR00396	TIGR00396.1	unpinned
TIGR_TIGR00398	TIGR00398.1	unpinned
TIGR_TIGR00414	TIGR00414.1	unpinned
TIGR_TIGR00416	TIGR00416.1	unpinned
TIGR_TIGR00420	TIGR00420.1	unpinned
TIGR_TIGR00431	TIGR00431.1	unpinned
TIGR_TIGR00435	TIGR00435.1	unpinned
TIGR_TIGR00436	TIGR00436.1	unpinned
TIGR_TIGR00442	TIGR00442.1	unpinned
TIGR_TIGR00445	TIGR00445.1	unpinned
TIGR_TIGR00456	TIGR00456.1	unpinned
TIGR_TIGR00459	TIGR00459.1	unpinned
TIGR_TIGR00460	TIGR00460.1	unpinned
TIGR_TIGR00468	TIGR00468.1	unpinned
TIGR_TIGR00472	TIGR00472.1	unpinned
TIGR_TIGR00487	TIGR00487.1	unpinned
TIGR_TIGR00496	TIGR00496.1	unpinned
TIGR_TIGR00539	TIGR00539.1	unpinned
TIGR_TIGR00580	TIGR00580.1	unpinned
TIGR_TIGR00593	TIGR00593.1	unpinned
TIGR_TIGR00615	TIGR00615.1	unpinned
TIGR_TIGR00631	TIGR00631.1	unpinned
TIGR_TIGR00634	TIGR00634.1	unpinned
TIGR_TIGR00635	TIGR00635.1	unpinned
TIGR_TIGR00643	TIGR00643.1	unpinned
TIGR_TIGR00663	TIGR00663.1	unpinned
TIGR_TIGR00717	TIGR00717.1	unpinned
TIGR_TIGR00755	TIGR00755.1	unpinned
TIGR_TIGR00810	TIGR00810.1	unpinned
TIGR_TIGR00922	TIGR00922.1	unpinned
TIGR_TIGR00928	TIGR00928.1	unpinned
TIGR_TIGR00959	TIGR00959.1	unpinned
TIGR_TIGR00963	TIGR00963.1	unpinned
TIGR_TIGR00964	TIGR00964.1	unpinned
TIGR_TIGR00967	TIGR00967.1	unpinned
TIGR_TIGR01009	TIGR01009.1	unpinned
TIGR_TIGR01011	TIGR01011.1	unpinned
TIGR_TIGR01017	TIGR01017.1	unpinned
TIGR_TIGR01021	TIGR01021.1	unpinned
TIGR_TIGR01029	TIGR01029.1	unpinned
TIGR_TIGR01032	TIGR01032.1	unpinned
TIGR_TIGR01039	TIGR01039.1	unpinned
TIGR_TIGR01044	TIGR01044.1	unpinned
TIGR_TIGR01059	TIGR01059.1	unpinned
