gtdb_marker_id	fetched_accession	drifted
PFAM_PF00410.20	PF00410.25	yes
PFAM_PF00466.21	PF00466.26	yes
PFAM_PF00687.22	PF00687.27	yes
PFAM_PF00827.18	PF00827.23	yes
PFAM_PF00900.21	PF00900.27	yes
PFAM_PF01000.27	PF01000.32	yes
PFAM_PF01015.19	PF01015.24	yes
PFAM_PF01090.20	PF01090.26	yes
PFAM_PF01200.19	PF01200.25	yes
PFAM_PF01280.21	PF01280.27	yes
PFAM_PF04919.13	PF04919.19	yes
PFAM_PF07541.13	PF07541.18	yes
TIGR_TIGR00037	TIGR00037.1	unpinned
TIGR_TIGR00064	TIGR00064.1	unpinned
TIGR_TIGR00111	TIGR00111.1	unpinned
TIGR_TIGR00134	TIGR00134.1	unpinned
TIGR_TIGR00279	TIGR00279.1	unpinned
TIGR_TIGR00291	TIGR00291.1	unpinned
TIGR_TIGR00323	TIGR00323.1	unpinned
TIGR_TIGR00335	TIGR00335.1	unpinned
TIGR_TIGR00373	TIGR00373.1	unpinned
TIGR_TIGR00405	TIGR00405.1	unpinned
TIGR_TIGR00448	TIGR00448.1	unpinned
TIGR_TIGR00483	TIGR00483.1	unpinned
TIGR_TIGR00491	TIGR00491.2	unpinned
TIGR_TIGR00522	TIGR00522.1	unpinned
TIGR_TIGR00967	TIGR00967.1	unpinned
TIGR_TIGR00982	TIGR00982.1	unpinned
TIGR_TIGR01008	TIGR01008.1	unpinned
TIGR_TIGR01012	TIGR01012.1	unpinned
TIGR_TIGR01018	TIGR01018.1	unpinned
TIGR_TIGR01020	TIGR01020.1	unpinned
TIGR_TIGR01028	TIGR01028.1	unpinned
TIGR_TIGR01046	TIGR01046.1	unpinned
TIGR_TIGR01052	TIGR01052.1	unpinned
TIGR_TIGR01171	TIGR01171.1	unpinned
TIGR_TIGR01213	TIGR01213.2	unpinned
TIGR_TIGR01952	TIGR01952.1	unpinned
TIGR_TIGR02236	TIGR02236.1	unpinned
TIGR_TIGR02338	TIGR02338.1	unpinned
TIGR_TIGR02389	TIGR02389.1	unpinned
TIGR_TIGR02390	TIGR02390.1	unpinned
TIGR_TIGR03626	TIGR03626.1	unpinned
TIGR_TIGR03627	TIGR03627.1	unpinned
TIGR_TIGR03628	TIGR03628.1	unpinned
TIGR_TIGR03629	TIGR03629.1	unpinned
TIGR_TIGR03670	TIGR03670.1	unpinned
TIGR_TIGR03671	TIGR03671.1	unpinned
TIGR_TIGR03672	TIGR03672.1	unpinned
TIGR_TIGR03673	TIGR03673.1	unpinned
TIGR_TIGR03674	TIGR03674.1	unpinned
TIGR_TIGR03676	TIGR03676.1	unpinned
TIGR_TIGR03680	TIGR03680.1	unpinned
