query	target	v1_jaccard	v15_jaccard	v1_shared	v15_shared
GCF_000007085.1_ASM708v1_genomic	GCF_000007085.1_ASM708v1_genomic	1.0	1.0	78	78
GCF_000007085.1_ASM708v1_genomic	GCF_000024285.1_ASM2428v1_genomic	0.1042	0.10430610161997361	77	77
GCF_000007085.1_ASM708v1_genomic	GCF_000160055.1_ASM16005v1_genomic	0.0793	0.079466100536068	76	76
GCF_000007085.1_ASM708v1_genomic	GCF_000183205.1_ASM18320v1_genomic	0.0666	0.06659396978400502	74	74
GCF_000007085.1_ASM708v1_genomic	GCF_000219125.1_ASM21912v1_genomic	0.0943	0.09426338057038602	78	78
GCF_000007085.1_ASM708v1_genomic	GCF_000245795.1_Fack_lang_CCUG_37842_V1_genomic	0.0694	0.06936587499167346	73	73
GCF_000007085.1_ASM708v1_genomic	GCF_000301035.1_Fack_homi_CCUG_36813_V1_genomic	0.0694	0.06940877863283215	74	74
GCF_000007085.1_ASM708v1_genomic	GCF_000331995.1_ASM33199v1_genomic	0.1218	0.12183659141502512	74	74
GCF_000007085.1_ASM708v1_genomic	GCF_000378385.1_ASM37838v1_genomic	0.094	0.0940995289251218	78	78
GCF_000007085.1_ASM708v1_genomic	GCF_000394035.1_Ente_phoe_BAA-412_V1_genomic	0.0757	0.07560542268348192	77	77
GCF_000007085.1_ASM708v1_genomic	GCF_000423785.1_ASM42378v1_genomic	0.0702	0.07021848622452422	76	76
GCF_000007085.1_ASM708v1_genomic	GCF_000430625.1_ASM43062v1_genomic	0.1008	0.10079527191244746	76	76
GCF_000007085.1_ASM708v1_genomic	GCF_000510645.1_ASM51064v1_genomic	0.1015	0.10172179973491283	78	78
GCF_000007085.1_ASM708v1_genomic	GCF_000565485.1_Lfabi1.0_genomic	0.0688	0.06883940843580058	76	76
GCF_000007085.1_ASM708v1_genomic	GCF_000686645.1_ASM68664v1_genomic	0.1183	0.11847045753507454	78	78
GCF_000007085.1_ASM708v1_genomic	GCF_000732725.1_ASM73272v1_genomic	0.0786	0.07874235458378276	76	76
GCF_000007085.1_ASM708v1_genomic	GCF_000767835.1_ASM76783v1_genomic	0.0698	0.06966560258267403	75	75
GCF_000007085.1_ASM708v1_genomic	GCF_000831645.3_ASM83164v3_genomic	0.0654	0.06526437847678261	75	75
GCF_000007085.1_ASM708v1_genomic	GCF_001005905.1_ASM100590v1_genomic	0.0764	0.07642119641868965	77	77
GCF_000007085.1_ASM708v1_genomic	GCF_001187725.1_ASM118772v1_genomic	0.095	0.09517041494989095	78	78
GCF_000007085.1_ASM708v1_genomic	GCF_001311925.1_ASM131192v1_genomic	0.0896	0.08989577005834448	76	76
